dean,university,priorTitle,priorInstitution,action
Deborah Solmor,TCS Education System,"Vice President and Deputy General Counsel, Litigation, and Chief Compliance Officer",Career Education Corporation,flag+evidence
Gregg Goldman,University of Minnesota,Chief Financial Officer and Senior Vice President of Finance,"Hillspire, LLC",flag+evidence
Lisa Grace,Arizona State University,Internal Audit Director,ACI Worldwide,flag+evidence
Jonathan Pettus,Auburn University,"Business unit lead (space, hypersonics, cybersecurity)",Dynetics/Leidos,flag+evidence
Audrey Perry Martin,Brigham Young University,Partner,Lex Politica,flag+evidence
Matthew Raymer,Dartmouth College,"Chief Counsel, Republican National Committee",Republican National Committee / BakerHostetler,flag+evidence
Brad Slutsky,Emory University,General Counsel,Corpay (formerly FLEETCOR),flag+evidence
Robert Grillo,Florida International University,"Consulting Division Lead, Latin America and Caribbean",PeopleSoft,flag+evidence
Michael E. Norton,Iowa State University,Partner,Husch Blackwell LLP,flag+evidence
Camille Johnston,Johns Hopkins University,Senior Vice President for Corporate Affairs,Siemens Corporation,flag+evidence
Kellie Peterson,Montana State University,Attorney,"Small law firm in Arizona (Education, Municipal, and Indian Law)",flag+evidence
Linda Chiarelli,New York University,Deputy Director of Construction,Forest City Ratner Companies,flag+evidence
Wiley Norvell,New York University,Executive Vice President,Rubenstein (public relations firm),flag+evidence
Jennifer Brant-Gargan,Northeastern University,Global Chief Information Officer,Bacardi,flag+evidence
Joseph Capparelli,Pace University,Office Managing Partner,BDO USA,flag+evidence
Gadi Dechter,Princeton University,Head of Public Affairs,APCO Worldwide,flag+evidence
Noel Wong,Tulane University,Senior IT executive,Gulfstream Aerospace Corporation / XO Communications,flag+evidence
Mark Krause,UCLA,Vice President and Chief Compliance Officer,Warner Bros. Entertainment,flag+evidence
Craig A. Cook,Rensselaer Polytechnic Institute,Associate General Counsel for Intellectual Property,IBM Corporation,flag+evidence
Dana K. Bodine,Rensselaer Polytechnic Institute,Vice President,Trustpilot,flag+evidence
William J. Castner,Rutgers University,Chair of Regulatory Affairs and Compliance,Connell Foley LLP,flag+evidence
Sophie Rohnke,Southern Methodist University,Partner,"Gibson, Dunn & Crutcher LLP",flag+evidence
Chandra McQueen,Southern Methodist University,Internal audit director,McKesson Corporation,flag+evidence
Jannette Akridge,University of Arkansas,,"Walmart (private sector, data governance)",flag+evidence
Robert Hochman,University of Chicago,"Co-head, Supreme Court, Appellate, and Litigation Strategies practice",Sidley Austin LLP,flag+evidence
Nick Kozlov,University of Florida,Interim Senior Vice President and CFO,Huron Consulting Group,flag+evidence
Jamie (James D.) Jorgensen,University of Iowa,"Senior Counsel, Husch Blackwell LLP",Husch Blackwell LLP,flag+evidence
Rene Bustamante,University of Memphis,Staff Vice President and Assistant Treasurer,FedEx Corporation,flag+evidence
Dean Stoyer,University of North Carolina,"Founder, independent brand marketing firm (previously Chief Brand Officer, Trackhouse Entertainment Group)",Trackhouse Entertainment Group / Nike,flag+evidence
Armand Paliotta,University of Oklahoma,Partner,Hartzog Conger Cason LLP,flag+evidence
Chris Pembrook,University of Oklahoma,Shareholder,Crawford & Associates,flag+evidence
Matthew Grossman,University of Pennsylvania,Chief Brand and Communications Officer,Techstars,flag+evidence
Sara Timmerman,University of Vermont,,KPMG,flag+evidence
Harry L. Allen,Belmont University,Co-Founder & Chief Relationship Officer,Studio Bank,flag+evidence
Francene LaPoint,Concordia University-Irvine,Senior Vice President and Chief Accounting Officer,Citizens Business Bank,flag+evidence
Judi A. Szatko,Creighton University,Vice President of Human Resources,Team Software (Omaha),flag+evidence
James S. Jansen,Creighton University,"Partner, McGrath North Mullin & Kratz PC LLO",McGrath North Mullin & Kratz PC LLO,flag+evidence
Heidi W. Grunkemeyer,Creighton University,Managing Director,Ervin & Smith,flag+evidence
Jeff Matthews,D'Youville University,Content/social media leadership,Buffalo Bills (NFL),flag+evidence
Michael Valdes,Eastern Michigan University,Chief Financial Officer,Agility Health Inc.,flag+evidence
Rodney Cruise,Embry-Riddle Aeronautical University,Vice President of Business Development,Sodexo,flag+evidence
Sarah Barczyk,Embry-Riddle Aeronautical University,Founder/Principal,Four Score Strategies,flag+evidence
Rodney Cruise,Embry-Riddle Aeronautical University,Vice President of Business Development,Sodexo,flag+evidence
Rodney Cruise,Embry-Riddle Aeronautical University,Vice President of Business Development,Sodexo,flag+evidence
Avery D. McKnight,Florida Agricultural and Mechanical University,Shareholder,"Allen Norton & Blue, P.A.",flag+evidence
Sharon Hammonds,Gardner-Webb University,"HR Manager, Senior Leadership Team","Walmart Distribution Center (Laurens, SC)",flag+evidence
Clarence Ray Curtis,Gardner-Webb University,,Valdese Weavers,flag+evidence
Vicki Piersall,George Fox University,Worldwide Controller/Director of Consolidation,Xerox,flag+evidence
Nichole Drew,George Fox University,Group Talent Development Manager,Enterprise Holdings,flag+evidence
Richelle Payne,Hampton University,Partner,Ascendant Group,flag+evidence
Robin Maynard,Harding University,Attorney,Lathrop GPM,flag+evidence
Jessica Alvarez,Hunter College,Litigation Associate,Davis Polk & Wardwell LLP,flag+evidence
John T. Rose,Hunter College,Vice President for Human Resources,ABC and ESPN,flag+evidence
Denise Gallop,Husson University,Director of Human Resources,Eaton Peabody Attorneys at Law,flag+evidence
Joan Callahan,Idaho State University,"Shareholder, Nelson | Williams (formerly Naylor & Hales, P.C.)",Nelson | Williams,flag+evidence
Joan Callahan,Idaho State University,"Shareholder, Nelson | Williams (formerly Naylor & Hales, P.C.)",Nelson | Williams,flag+evidence
Jeffrey Baughn,Lipscomb University,"Vice President, Financial Services",IBM,flag+evidence
David Wilson,Lipscomb University,Partner,Waller Lansden Dortch & Davis,flag+evidence
Brett Hinson,Lipscomb University,Vice President of IT Project & Solution Services,AmWINS Group,flag+evidence
Stedroy (Roy) Fergus,Long Island University,,ARAMARK Corporation,flag+evidence
Sharonda Williams,Loyola University New Orleans,Special Counsel,"Fishman Haygood, L.L.P.",flag+evidence
Melissa Morris,Marian University,"Staff Vice President for Diversity, Equity, and Inclusion",Elevance Health (formerly Anthem),flag+evidence
Craig Koch,Marian University,Project Manager,Browning Construction,flag+evidence
Ian Gonzalez,Marquette University,Corporate Controller,Briggs & Stratton,flag+evidence
Toney Stroud,Marshall University,Assistant Vice President,Encova Insurance,flag+evidence
Mary Bowman Hampton,Mercer University,Director of Corporate Communications and Community Relations,Cox Communications,flag+evidence
Andrew Oppmann,Middle Tennessee State University,Vice President,The Tennessean / Gannett Tennessee,flag+evidence
Amy Gellen,Northern Kentucky University,Vice President of Human Resources,Vora Ventures,flag+evidence
Arcelio Aponte,Rutgers University-Newark,Director of U.S. Regulatory Affairs and Strategic Operations,Barclays US,flag+evidence
Arcelio Aponte,Rutgers University-Newark,Director of U.S. Regulatory Affairs and Strategic Operations,Barclays US,flag+evidence
Arcelio Aponte,Rutgers University-Newark,Director of U.S. Regulatory Affairs and Strategic Operations,Barclays US,flag+evidence
Jamison Kravcak,Saint Leo University,Chief Operating Officer,Synergis Education,flag+evidence
Arthur Monger,Saint Leo University,Executive team member,Synergis Education,flag+evidence
Robert Schwartz,Seattle University,Senior Manager,M.A. Mortenson Company,flag+evidence
Kimberly A. Capadona,Seton Hall University,Partner,"Archer & Greiner, P.C.",flag+evidence
Jean Guezmir,St Catherine University,Senior IT Executive,Abbott Laboratories,flag+evidence
